,from,to,pval,fdr,value
376,AT3G23230,AT3G26500,0.016983016983017,0.0207204767063922,2
377,mean_AT5G03740-AT1G56170,AT4G39030,0.000999000999000999,0.00440960313571779,2
378,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G65484,0.00599400599400599,0.0121457489878542,2
379,AT2G40740,AT1G65484,0.00799200799200799,0.0138808559861191,2
380,AT1G29860,AT1G65484,0.00599400599400599,0.0121457489878542,2
381,AT4G32280,AT4G34770,0.001998001998002,0.00728744939271255,2
382,AT5G49330,AT4G34770,0.000999000999000999,0.00440960313571779,2
383,AT2G40740,AT1G49000,0.00699300699300699,0.0128887070376432,2
384,mean_AT5G03740-AT1G56170,AT1G49000,0.00899100899100899,0.0142907551164432,2
385,AT1G62300,AT5G53110,0.018981018981019,0.0226790450928382,2
386,AT2G33710,AT5G53110,0.010989010989011,0.0155733836715432,2
387,AT1G29860,AT5G53110,0.011988011988012,0.0163859808830223,2
388,mean_AT5G03740-AT1G56170,AT5G53110,0.004995004995005,0.011094674556213,2
389,AT1G62300,AT4G17660,0.012987012987013,0.0173410404624277,2
390,AT2G33710,AT4G17660,0.00999000999000999,0.0150175204405139,2
391,mean_AT5G03740-AT1G56170,AT4G17660,0.010989010989011,0.0155733836715432,2
392,AT2G21710,AT2G04040,0.000999000999000999,0.00440960313571779,2
393,AT1G62310,AT1G75640,0.000999000999000999,0.00440960313571779,2
394,AT4G00870,AT2G41480,0.000999000999000999,0.00440960313571779,2
395,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G04380,0.004995004995005,0.011094674556213,2
396,AT5G43290,AT5G04380,0.018981018981019,0.0226790450928382,2
397,AT2G40740,AT5G55450,0.00699300699300699,0.0128887070376432,2
398,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT5G55450,0.001998001998002,0.00728744939271255,2
399,AT1G29860,AT1G25220,0.004995004995005,0.011094674556213,2
400,AT3G23230,AT1G25220,0.013986013986014,0.0180826636050517,2
401,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G25220,0.00699300699300699,0.0128887070376432,2
402,AT2G40740,AT1G25220,0.015984015984016,0.0198156047887712,2
403,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT5G62480,0.004995004995005,0.011094674556213,2
404,AT2G40740,AT5G62480,0.010989010989011,0.0155733836715432,2
405,mean_AT4G00150-AT1G74930,AT3G44260,0.000999000999000999,0.00440960313571779,2
406,AT2G40740,AT2G40180,0.00699300699300699,0.0128887070376432,2
407,AT3G23230,AT2G40180,0.002997002997003,0.00906953308700034,2
408,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G14819,0.000999000999000999,0.00440960313571779,2
409,AT3G23230,AT1G26410,0.021978021978022,0.0256410256410256,2
410,AT1G29860,AT1G26410,0.010989010989011,0.0155733836715432,2
411,mean_AT5G03740-AT1G56170,AT1G26410,0.010989010989011,0.0155733836715432,2
412,AT1G62300,AT1G26410,0.00799200799200799,0.0138808559861191,2
413,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G26410,0.00899100899100899,0.0142907551164432,2
414,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT3G21460,0.000999000999000999,0.00440960313571779,2
415,AT1G16530,AT5G13210,0.000999000999000999,0.00440960313571779,2
416,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G79680,0.00599400599400599,0.0121457489878542,2
417,AT1G29860,AT1G79680,0.00899100899100899,0.0142907551164432,2
418,mean_AT5G03740-AT1G56170,AT1G29860,0.002997002997003,0.00906953308700034,2
419,AT3G23230,AT1G29860,0.003996003996004,0.0103329506314581,2
420,AT2G33710,AT2G30750,0.020979020979021,0.0246414602346806,2
421,mean_AT5G03740-AT1G56170,AT2G30750,0.003996003996004,0.0103329506314581,2
