label;logFC;logCPM;FDR;Regulation;Gene_ID
CTF2B;-2.83419509634414;-20.5035965178531;1.18432581509734e-43;Down;AT2G29720.1
RAB11C;-1.52338391272372;-20.1218604095363;1.59984585758114e-43;Down;AT1G09630.1
PWD;1.53803689239855;-16.1479032408086;2.61650146799199e-43;Up;AT5G26570.1
ETR2;2.66083112155015;-19.579835818575;2.89283088719841e-43;Up;AT3G23150.1
AT4G27130;1.57542473030446;-17.4063862862059;5.29557279824725e-43;Up;AT4G27130.1
SQP1;2.14765677159682;-17.9517724418504;7.76191702072836e-43;Up;AT5G24150.1
AT2G41750;2.42348263489006;-20.0253244287424;9.72823757836977e-43;Up;AT2G41750.1
CNX1;1.81818933867576;-14.8981074970165;3.01534365637036e-42;Up;AT5G61790.1
TPX1;1.71204849130224;-15.4173608483768;3.02792071237262e-42;Up;AT1G65980.1
AT2G41250;-1.51986727931187;-18.9411494552288;3.60978719843012e-42;Down;AT2G41250.1
COBL2;2.94354759504384;-21.0632890339876;4.1889483166181e-42;Up;AT3G29810.1
AT2G45300;-1.61297322165066;-18.6322231786146;7.40265083747581e-42;Down;AT2G45300.1
APX2;9.08825706930574;-20.3275964803847;8.58616147481505e-42;Up;AT3G09640.1
RECEPTOR-LIKE PROTEIN KINASE;-2.59663649730574;-21.0361352500996;1.15939917691377e-41;Down;AT4G21400.1
AT4G17910;1.55440521248765;-19.108877143572;2.44850846192791e-41;Up;AT4G17910.4
AT1G66180;1.95456172339697;-17.7438649066677;2.75402468668555e-41;Up;AT1G66180.1
PMIR2;1.97664416021353;-20.1481012355368;2.9111280376773e-41;Up;AT5G26160.1
PUB48;3.98492739410751;-21.9898340488077;4.46906202147183e-41;Up;AT5G18340.1
BLJ;-1.55742362619592;-18.839734072654;5.94023309275476e-41;Down;AT1G14580.3
NA;3.48552029973509;-21.952681933685;7.03990211588357e-41;Up;AT4G31405.1
UMAMIT12;-1.75640325717995;-19.6994314398393;8.69693630435237e-41;Down;AT2G37460.1
LETM1;1.99280022049548;-17.900850012065;2.36100360889516e-40;Up;AT3G59820.2
SDF2;1.67795315794721;-17.19850438459;4.84736419570451e-40;Up;AT2G25110.1
NIA1;-1.98506314942411;-19.2567037298409;5.8900032396298e-40;Down;AT1G77760.1
CCT2;-1.71532339254616;-20.0920808176344;6.96088524363616e-40;Down;AT4G15130.1
NF-YC2;1.58896322242775;-19.6333758146608;8.34731459685081e-40;Up;AT1G56170.1
OSCA1.8;1.79640707424867;-18.540845045202;8.76853662630104e-40;Up;AT1G32090.1
MLO6;-3.0378358240305;-20.4175931259644;9.10686963599098e-40;Down;AT1G61560.1
MAT3;-1.54509986028727;-16.510192099097;1.04381443491277e-39;Down;AT2G36880.1
SPS4F;-1.9557807395114;-18.7588087781359;2.15499505359238e-39;Down;AT4G10120.1
RS31A;1.93417672446286;-20.1540306156064;2.32203534302529e-39;Up;AT2G46610.1
NT;1.63930938699829;-19.295067047836;4.46118644028669e-39;Up;AT2G41760.1
SGPP;-1.67122305080459;-18.6891803731424;6.2131403145203e-39;Down;AT2G38740.1
